Country_Code,Nation,Region_Code,Median_Malaria_Cases,Median_GDP,Median_Population_Density,Median_Urban_pct,Median_Sanitation_Access_pct,lat,lon,Median_Rainfall,Median_Temp
AFG,Afghanistan,EMR,176952.5,496.6025042585,58.0410606687825,25.202968114297,48.2120357589045,34.52,69.18,324.2,12.933424657534246
DZA,Algeria,AFR,1089.0,4565.938915691595,18.1776961381175,72.76828438367849,86.0519884238755,36.75,3.05,510.7,17.682191780821917
AGO,Angola,AFR,7199337.0,2728.2966582326053,25.969063928772,67.060304669436,49.41677336121965,-8.83,13.22,484.0,25.43013698630137
ARG,Argentina,AMR,14.5,13189.7944059355,16.4335255363231,91.90034355543494,94.620681674474,-34.58,-58.67,955.0,17.12568306010929
ARM,Armenia,EUR,2.0,4432.954903520655,105.056940272915,65.08946030537089,92.62930323100869,40.17,44.5,363.6,13.506849315068491
AZE,Azerbaijan,EUR,1.0,5106.8995347047,121.280071139933,58.2121441869858,93.78590747503085,40.38,49.87,268.9,15.631506849315068
BGD,Bangladesh,SEAR,16896.0,2189.3248789141953,1266.90523930245,30.9698661832268,58.73201989705505,23.72,90.4,1786.7,25.234794520547947
BLZ,Belize,AMR,2.0,6148.805973937,16.9149057430951,42.77880232782165,84.10165676790635,17.25,-88.77,1709.0,25.38849315068493
BEN,Benin,AFR,1954862.0,1175.9676179625449,112.865865555161,49.0793533905072,19.1718942261969,6.48,2.62,1645.7,26.71857923497268
BTN,Bhutan,SEAR,52.5,3435.28804735662,20.0530676455165,39.38178316392925,79.7168588173502,27.47,89.63,3493.9,11.216986301369865
BOL,Bolivia (Plurinational State of),AMR,9658.0,4125.7780629781355,10.7739185821102,69.88888111183205,64.54897953422764,-19.02,-65.26,1037.0,13.068493150684931
BWA,Botswana,AFR,618.0,7290.0244831090695,4.11498067863004,66.3879930670009,70.10624454269015,-24.63,25.9,343.8,21.081917808219178
BRA,Brazil,AMR,168280.0,9155.582932689715,24.8207686159839,86.795508879365,89.17675382796534,-15.79,-47.88,1098.5,21.9186301369863
BFA,Burkina Faso,AFR,10536320.0,801.3513286482614,76.6153216374269,26.2382814014892,27.2391587496819,12.37,-1.52,648.5,28.155890410958904
BDI,Burundi,AFR,6387412.0,248.3439894057195,477.232710280374,19.35858829079205,44.63148660159325,-3.43,29.93,1045.6,19.04739726027397
CPV,Cabo Verde,AFR,32.0,4133.20459619576,127.569230769231,72.25464033226805,79.87155051784335,14.92,-23.52,255.6,23.94931506849315
KHM,Cambodia,WPR,21080.5,2124.57119220719,93.3679129843644,39.7078410782623,68.85164099391929,11.55,104.92,1653.3,27.812328767123287
CMR,Cameroon,AFR,2854998.0,1580.24048807822,53.9571724736096,54.10229316417525,45.06919706768675,3.85,11.5,1667.6,23.10438356164384
CAF,Central African Republic,AFR,1791048.0,459.0615170767725,7.93717775851552,42.04256081703975,14.30030856074595,4.37,18.58,1165.8,26.27945205479452
TCD,Chad,AFR,1588361.5,947.5075650398026,13.2506535895807,24.50364845910245,12.42216967336445,12.1,15.03,415.2,29.21857923497268
CHN,China,WPR,2588.5,10485.1823756977,149.948179684945,63.116669093879295,92.06981572843614,39.92,116.38,609.2,12.974794520547944
COL,Colombia,AMR,78268.0,6476.038881085669,44.9824109959441,77.5489031027711,92.66197283366134,4.71,-74.07,1039.3,13.31835616438356
COM,Comoros,AFR,13080.0,1514.78941853899,422.664159054272,31.896282813156198,52.00042634521895,-11.7,43.23,2657.7,25.8931693989071
COG,Congo,AFR,149893.0,2480.11372514713,16.4470307467057,63.5468640308821,20.2685707874205,-4.25,15.28,1303.0,25.666849315068493
CRI,Costa Rica,AMR,147.0,12714.18395702725,97.9152565609087,77.282370100861,97.98865517125444,9.93,-84.09,2951.1,19.92267759562841
CIV,Cote d'Ivoire,AFR,5457909.0,2160.7488550152502,88.6572610062893,51.5936230297446,36.2782596917384,6.82,-5.27,1386.4,26.1827397260274
COD,Democratic Republic of the Congo,AFR,21639579.0,511.0869091491155,40.9992907081891,43.06378467037955,16.3599871325371,-4.32,15.3,1233.1,25.92103825136612
DJI,Djibouti,EMR,39233.5,2841.0285649439247,46.9676013805004,71.87041585372066,66.6577106028334,11.58,43.15,253.7,29.75945205479452
DOM,Dominican Republic,AMR,572.5,8032.999225926595,226.026774543851,73.4023629223298,87.79302727642201,18.47,-69.9,1245.4,25.559452054794523
ECU,Ecuador,AMR,1545.0,6219.19005022242,69.8180906748269,63.07005187485795,87.7841920703683,-0.22,-78.5,3568.5,12.210958904109589
SLV,El Salvador,AMR,4.0,4251.8314625299245,300.304922779923,72.73595809936526,86.8730568343975,13.7,-89.2,1534.8,24.012054794520548
GNQ,Equatorial Guinea,AFR,41701.5,7199.41433871528,59.5428520499109,70.251436687027,66.2485390317556,1.35,10.49,3364.8,22.10082191780822
SWZ,Eswatini,AFR,528.0,3873.630787341845,68.5973255813954,24.50561742199715,61.761136393237805,-26.32,31.13,1215.7,16.79205479452055
ETH,Ethiopia,AFR,1725533.0,811.6321148791055,102.552159549746,21.4373378753662,8.84902035076118,9.03,38.7,1501.9,15.39013698630137
GAB,Gabon,AFR,53420.5,7532.7280853026,8.80081499592502,90.12563002902705,52.14715910584535,0.38,9.45,2719.6,25.84054794520548
GMB,Gambia,AFR,99456.5,729.260947669808,242.771146245059,61.92506800973125,47.2829922191617,13.45,-16.57,702.5,26.382513661202186
GEO,Georgia,EUR,6.5,4772.668937816,65.1302704783232,58.81473222721105,87.8290987131835,41.68,44.83,514.2,14.310958904109588
GHA,Ghana,AFR,5552329.5,2195.38823838182,137.382028101418,55.970894654199896,25.94029272991315,5.55,-0.22,902.6,26.74125683060109
GTM,Guatemala,AMR,2998.5,4494.80812276681,159.609957073535,54.3682717589801,68.72864850331246,14.62,-90.52,1422.3,18.789071038251368
GIN,Guinea,AFR,2076100.5,1042.5012208857352,53.0455233599219,36.3041877803469,28.205466322853148,9.5,-13.7,3124.9,26.630958904109587
GNB,Guinea-Bissau,AFR,154545.0,829.06614080055,69.9749644381223,44.08919525146485,26.577506202117647,11.85,-15.58,1515.6,26.98575342465753
GUY,Guyana,AMR,18028.0,6590.766912704325,3.89143222506394,26.4299616063367,89.69087461702935,6.8,-58.15,2289.8,26.503278688524592
HTI,Haiti,AMR,16170.0,1453.75366858476,402.944956458636,52.3188268342313,28.58170085278705,18.53,-72.33,427.9,27.66027397260273
HND,Honduras,AMR,2009.0,2483.484929299955,88.8697202609706,56.62416077162255,83.57224287919715,14.1,-87.22,1347.8,21.81584699453552
IND,India,SEAR,296997.0,2003.84159435132,467.185182245332,33.971315245324,70.58912737486196,28.6,77.2,731.4,24.4654794520548
IDN,Indonesia,WPR,257836.0,3983.95104625542,145.132688936836,56.008366860465756,81.21692789743184,-6.17,106.82,2001.4,26.89972602739726
IRN,Iran (Islamic Republic of),EMR,1025.0,4867.872114362075,53.6527876733436,75.4012641906738,90.1439307010568,35.7,51.42,327.1,18.54164383561644
KAZ,Kazakhstan,EUR,3.0,9728.0431545233,7.11544060451161,59.5351833905619,97.9249493046787,51.16,71.45,375.9,4.393972602739726
KEN,Kenya,AFR,4170023.0,1935.1263089202,88.4453894988127,31.4845735457024,37.658569271939996,-1.28,36.82,692.4,19.024109589041096
KGZ,Kyrgyzstan,EUR,1.0,1316.75880512356,34.3598070907195,34.84897605750775,97.9004902085966,42.87,74.6,730.7,10.941095890410958
LAO,Lao People's Democratic Republic,WPR,5309.0,2367.8260775693698,31.3589081455806,36.2628957224281,79.49769228770816,17.97,102.6,1918.9,26.087704918032788
LBR,Liberia,AFR,928778.0,695.9295890393305,52.3642130398671,53.121565410854046,20.803912666361,6.3,-10.8,3739.2,25.90219178082192
MDG,Madagascar,AFR,1332699.5,495.8428431707315,48.5038741835682,30.5033223268876,13.432038294475,-18.92,47.52,1244.8,18.153972602739724
MWI,Malawi,AFR,5497697.5,560.2472515015804,201.800509121765,16.2172609187705,43.882493219566456,-13.97,33.78,771.9,20.84602739726028
MYS,Malaysia,WPR,3234.0,10902.45287175965,101.782364936844,74.9444801654857,95.96616218735365,3.17,101.7,3033.0,26.51123287671233
MLI,Mali,AFR,2935198.0,974.431717522272,17.2664953818668,28.6863344372101,41.89059695530325,12.65,-8.0,711.2,28.058469945355192
MRT,Mauritania,AFR,25893.5,1781.41865314407,4.33463471427185,56.52164584190195,50.773192678087554,18.07,-15.97,31.1,26.06712328767124
MEX,Mexico,AMR,573.5,10199.4222142068,64.6945559299365,78.516972467908,91.34286375121525,19.43,-99.13,1152.9,16.79780821917808
MOZ,Mozambique,AFR,10811578.5,518.2999055858605,38.0024670006867,33.66106239666585,32.701058885529605,-25.95,32.58,772.1,23.04383561643836
MMR,Myanmar,SEAR,97582.5,1257.7718810737201,80.6507017006282,30.1187743457037,73.40109555400659,19.76,96.07,2593.4,26.104657534246577
NAM,Namibia,AFR,13736.5,4412.98154571046,3.21939292351419,48.27468125907145,37.11354418110495,-22.57,17.08,287.6,20.20082191780822
NPL,Nepal,SEAR,859.5,1191.17068948395,198.214607603767,66.04624077863309,70.8556766441097,27.72,85.32,3109.4,17.712054794520547
NIC,Nicaragua,AMR,12089.0,2135.036466488855,53.8778211733422,58.622579706859995,,12.13,-86.25,1328.2,27.331967213114755
NER,Niger,AFR,4151408.5,579.040265719564,18.1161735217494,16.9106442500322,14.32388031825805,13.52,2.12,316.6,29.295081967213115
NGA,Nigeria,AFR,19066077.5,2362.2487219589,230.009377779242,59.363542063791854,43.81394975056705,9.08,7.53,1061.2,25.9655737704918
PAK,Pakistan,EMR,386803.5,1440.005417830415,299.399256693649,37.3085912341934,66.9916094847616,33.68,73.05,964.6,21.372876712328768
PAN,Panama,AMR,1901.5,15922.97854759905,57.0868158533297,65.76964267778915,83.7586772281133,8.97,-79.53,2324.2,26.60602739726028
PNG,Papua New Guinea,WPR,649305.5,2571.07053937717,21.2185001987369,14.0490972316338,21.9917261553809,-9.45,147.18,1773.0,26.28219178082192
PRY,Paraguay,AMR,2.5,6064.599456638695,16.3983337528316,65.55052540800094,91.9117167341587,-25.28,-57.57,1487.7,23.263013698630136
PER,Peru,AMR,30895.5,6902.34688581552,25.35101796875,83.31502201383711,76.42373069639044,-12.05,-77.05,71.8,18.970410958904107
PHL,Philippines,WPR,6184.0,3314.184300011365,371.615799711574,53.9117789921997,81.95528555625711,14.6,120.97,2361.5,27.260821917808222
KOR,Republic of Korea,WPR,567.5,34324.6745853284,529.43205942623,81.2330329579266,99.80304130831735,37.55,126.98,1156.4,11.837808219178084
RWA,Rwanda,AFR,2274593.0,794.37645553119,517.880137819214,23.737039406516402,75.07848874649366,-1.95,30.05,890.2,20.226775956284158
STP,Sao Tome and Principe,AFR,2412.5,2051.256599814425,222.283333333333,67.97833251953125,46.4327851558846,0.34,6.73,2731.7,26.17315068493151
SAU,Saudi Arabia,EMR,3404.5,29463.4296398001,14.399377584675,83.722949806031,97.58458466011726,24.65,46.7,83.7,26.96849315068493
SEN,Senegal,AFR,430474.0,1456.82166456499,84.9370072196541,50.50031356833795,57.740671466068,14.73,-17.63,245.0,24.330958904109583
SLE,Sierra Leone,AFR,1771862.5,844.8469845480125,107.120961485176,42.95740520189935,20.5582256163986,8.48,-13.23,2879.9,25.99945205479452
SLB,Solomon Islands,WPR,75202.0,2054.4025125930802,26.014540907467,27.6539311326391,32.891312948416,-9.43,159.95,2851.4,25.86684931506849
SOM,Somalia,EMR,29177.0,529.057974775222,25.5538798737527,51.96421754103825,39.75451591121265,2.07,45.33,494.5,26.498087431693985
ZAF,South Africa,AFR,7703.0,6400.44901221078,49.1207453692636,63.425017165944496,74.59802492403945,-25.7,28.22,589.1,18.696438356164386
SSD,South Sudan,AFR,1695873.5,1080.14718624765,17.1381355529885,20.048843233250253,12.812028263709252,4.85,31.62,697.7,28.562465753424654
