Country_Code,Median_Temp
AFG,12.933424657534246
DZA,17.682191780821917
AGO,25.43013698630137
ARG,17.12568306010929
ARM,13.506849315068491
AZE,15.631506849315068
BGD,25.234794520547947
BLZ,25.38849315068493
BEN,26.71857923497268
BTN,11.216986301369865
BOL,13.068493150684931
BWA,21.081917808219178
BRA,21.9186301369863
BFA,28.155890410958904
BDI,19.04739726027397
CPV,23.94931506849315
KHM,27.812328767123287
CMR,23.10438356164384
CAF,26.27945205479452
TCD,29.21857923497268
CHN,12.974794520547944
COL,13.31835616438356
COM,25.8931693989071
COG,25.666849315068493
CRI,19.92267759562841
CIV,26.1827397260274
COD,25.92103825136612
DJI,29.75945205479452
DOM,25.559452054794523
ECU,12.210958904109589
SLV,24.012054794520548
LAO,26.087704918032788
LBR,25.90219178082192
MDG,18.153972602739724
MWI,20.84602739726028
MYS,26.51123287671233
MLI,28.058469945355192
MRT,26.06712328767124
MEX,16.79780821917808
MOZ,23.04383561643836
MMR,26.104657534246577
NAM,20.20082191780822
NPL,17.712054794520547
NIC,27.331967213114755
THA,28.122677595628414
TLS,26.373698630136985
TGO,26.70684931506849
TKM,18.382739726027395
TUR,12.791780821917808
UGA,21.153424657534245
TZA,22.402465753424657
UZB,15.088524590163932
VUT,24.60054794520548
VEN,21.77205479452055
VNM,24.265205479452053
YEM,18.53497267759563
ZMB,20.605205479452053
GNQ,22.10082191780822
SWZ,16.79205479452055
ETH,15.39013698630137
GAB,25.84054794520548
GMB,26.382513661202186
GEO,14.310958904109588
GHA,26.74125683060109
GTM,18.789071038251368
GIN,26.630958904109587
GNB,26.98575342465753
GUY,26.503278688524592
HTI,27.660273972602734
HND,21.81584699453552
IND,24.465479452054797
IDN,26.89972602739726
IRN,18.54164383561644
KAZ,4.393972602739726
KEN,19.024109589041096
KGZ,10.941095890410958
NER,29.295081967213115
NGA,25.9655737704918
PAK,21.372876712328768
PAN,26.60602739726028
PNG,26.28219178082192
PRY,23.263013698630136
PER,18.970410958904107
PHL,27.260821917808222
KOR,11.837808219178083
RWA,20.226775956284154
STP,26.17315068493151
SAU,26.96849315068493
SEN,24.330958904109586
SLE,25.999452054794517
SLB,25.866849315068492
SOM,26.498087431693985
ZAF,18.696438356164382
SSD,28.562465753424654
LKA,26.61123287671233
SDN,30.34904109589041
SUR,26.27123287671233
TJK,15.532602739726027
ZWE,19.09426229508197
